"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","При клике на ингредиент появляется модальное окно с деталями","tests","Sun Jul 27 11:47:52 MSK 2025","passed","Sun Jul 27 11:47:52 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","181","Переход по клику на 'Конструктор'","tests","Sun Jul 27 11:46:14 MSK 2025","passed","Sun Jul 27 11:46:14 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","9463","Проверка увеличения счётчика 'Выполнено за сегодня' после оформления нового заказа","tests","Sun Jul 27 11:51:24 MSK 2025","passed","Sun Jul 27 11:51:34 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
"","65","Переход по клику на раздел 'Лента заказов'","tests","Sun Jul 27 11:47:04 MSK 2025","passed","Sun Jul 27 11:47:04 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","11693","Проверка увеличения счётчика общего количества заказов после оформления нового заказа","tests","Sun Jul 27 11:50:44 MSK 2025","passed","Sun Jul 27 11:50:56 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
"","733","Добавление ингредиента увеличивает счётчик","tests","Sun Jul 27 11:49:04 MSK 2025","passed","Sun Jul 27 11:49:04 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","10273","Проверка увеличения счётчика 'Выполнено за сегодня' после оформления нового заказа","tests","Sun Jul 27 11:52:07 MSK 2025","passed","Sun Jul 27 11:52:17 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
"","75","Переход по клику на раздел 'Лента заказов'","tests","Sun Jul 27 11:46:37 MSK 2025","passed","Sun Jul 27 11:46:37 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","14386","Проверка появления номера оформленного заказа в разделе 'В работе'","tests","Sun Jul 27 11:52:46 MSK 2025","passed","Sun Jul 27 11:53:01 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
"","975","При клике на ингредиент появляется модальное окно с деталями","tests","Sun Jul 27 11:47:25 MSK 2025","passed","Sun Jul 27 11:47:26 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","94","Добавление ингредиента увеличивает счётчик","tests","Sun Jul 27 11:49:30 MSK 2025","passed","Sun Jul 27 11:49:30 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","11431","Проверка увеличения счётчика общего количества заказов после оформления нового заказа","tests","Sun Jul 27 11:49:59 MSK 2025","passed","Sun Jul 27 11:50:10 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
"","196","Переход по клику на 'Конструктор'","tests","Sun Jul 27 11:45:46 MSK 2025","passed","Sun Jul 27 11:45:46 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","707","Модальное окно ингредиента закрывается по крестику","tests","Sun Jul 27 11:48:14 MSK 2025","passed","Sun Jul 27 11:48:15 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","705","Модальное окно ингредиента закрывается по крестику","tests","Sun Jul 27 11:48:41 MSK 2025","passed","Sun Jul 27 11:48:42 MSK 2025","Основной функционал и интерфейс","Главная страница","",""
"","13821","Проверка появления номера оформленного заказа в разделе 'В работе'","tests","Sun Jul 27 11:53:34 MSK 2025","passed","Sun Jul 27 11:53:48 MSK 2025","Проверка отображения и счётчиков заказов","Лента заказов","",""
